species	accession
Arcobacter cryaerophilus ATCC 43158	GCF_003660105.1
Arcobacter thereius LMG 24486	GCF_004214815.1
 porcinus	GCF_004299785.1
Arcobacter sp. L	GCF_000284235.1
Arcobacter ellisii	GCF_003544915.1
Arcobacter suis CECT 7833	GCF_003544815.1
Arcobacter halophilus	GCF_003346755.1
Arcobacter marinus	GCF_003544855.1
Arcobacter molluscorum LMG 25693	GCF_003544935.1
Arcobacter nitrofigilis DSM 7299	GCF_000092245.1
Arcobacter pacificus	GCF_004214795.1
Arcobacter sp. PSE-93	GCF_003711085.1
Arcobacter sp. LPB0137	GCF_001956695.1
Arcobacter mytili LMG 24559	GCF_003346775.1
Arcobacter bivalviorum	GCF_003346815.1
Campylobacter sputorum bv. paraureolyticus LMG 11764	GCF_002220755.1
Campylobacter sputorum bv. faecalis CCUG 20703	GCF_002220735.1
Campylobacter sputorum bv. sputorum RM3237	GCF_002220795.1
Campylobacter sputorum	GCF_002220775.1
Campylobacter gracilis	GCF_001190745.1
Campylobacter hominis ATCC BAA-381	GCF_000017585.1
Campylobacter curvus 525.92	GCF_000017465.2
Campylobacter showae	GCF_900699785.1
Campylobacter pinnipediorum subsp. caledonicus	GCF_002021985.1
Campylobacter pinnipediorum subsp. pinnipediorum	GCF_002021965.1
Campylobacter pinnipediorum subsp. pinnipediorum	GCF_002021945.1
Campylobacter pinnipediorum subsp. caledonicus	GCF_002022005.1
Campylobacter pinnipediorum subsp. pinnipediorum	GCF_002021925.1
Campylobacter concisus	GCF_003048375.1
Campylobacter concisus 13826	GCF_000017725.2
Campylobacter concisus	GCF_001298465.1
Campylobacter ureolyticus RIGS 9880	GCF_001190755.1
Campylobacter fetus subsp. venerealis cfvi03/293	GCF_000512745.2
Campylobacter fetus subsp. fetus	GCF_900475935.1
Campylobacter fetus subsp. fetus 04/554	GCF_000759485.1
Campylobacter fetus subsp. venerealis NCTC 10354	GCF_000222425.1
Campylobacter fetus subsp. venerealis str. 84-112	GCF_000967135.1
Campylobacter fetus subsp. venerealis 97/608	GCF_000759515.1
Campylobacter fetus subsp. fetus 82-40	GCF_000015085.1
Campylobacter fetus subsp. venerealis	GCF_001686885.1
Campylobacter fetus subsp. testudinum Sp3	GCF_001484645.1
Campylobacter fetus subsp. testudinum	GCF_002973655.1
Campylobacter fetus subsp. testudinum	GCF_000814265.1
Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260	GCF_001643955.1
Campylobacter hyointestinalis subsp. hyointestinalis	GCF_005844045.1
Campylobacter iguaniorum	GCF_001643995.1
Campylobacter iguaniorum	GCF_001483985.1
Campylobacter iguaniorum	GCF_000736415.1
Campylobacter lanienae NCTC 13004	GCF_002139935.1
Campylobacter sp. NCTC 13003	GCF_002139915.1
Campylobacter sp. RM6137	GCF_002139855.1
Campylobacter sp. RM12175	GCF_002139875.1
Campylobacter sp. RM8964	GCF_002139895.1
Campylobacter hyointestinalis subsp. lawsonii	GCF_001643975.1
Campylobacter helveticus	GCF_002080395.1
Campylobacter helveticus	GCF_004345065.1
Campylobacter upsaliensis	GCF_900637395.1
Campylobacter avium LMG 24591	GCF_002238335.1
Campylobacter cuniculorum DSM 23162 = LMG 24588	GCF_002104335.1
Campylobacter coli RM1875	GCF_000583755.1
Campylobacter volucris LMG 24379	GCF_000816345.1
Campylobacter volucris	GCF_004345045.1
Campylobacter lari RM2100	GCF_000019205.1
Campylobacter peloridis LMG 23910	GCF_000816785.1
Campylobacter sp. RM16704	GCF_000816245.1
Campylobacter subantarcticus LMG 24374	GCF_000816265.1
Campylobacter insulaenigrae	GCF_900638675.1
Campylobacter insulaenigrae	GCF_900637885.1
Campylobacter insulaenigrae NCTC 12927	GCF_000816185.1
Campylobacter hepaticus	GCF_001687475.2
Campylobacter lari RM16712	GCF_000816425.1
Campylobacter lari RM16701	GCF_000816405.1
Campylobacter lari subsp. concheus LMG 11760	GCF_000816225.1
Campylobacter lari CCUG 22395	GCF_000816385.2
Campylobacter lari	GCF_001017575.1
Campylobacter lari	GCF_900638335.1
Campylobacter lari NCTC 11845	GCF_000816365.1
Campylobacter subantarcticus LMG 24377	GCF_000816305.1
Campylobacter coli	GCF_001865535.1
Campylobacter coli 76339	GCF_000470055.1
Campylobacter jejuni subsp. jejuni	GCF_001721945.1
