A6J93_RS00,Campylobacter_jejuni_subsp._jejuni_GCF_002209045.1
BLD40_RS00,Campylobacter_jejuni_GCF_001870105.1
MTVDSCj16_,Campylobacter_jejuni_subsp._jejuni_GCF_001721985.1
YSU_RS0015,Campylobacter_coli_RM5611_GCF_000583795.1
AR448_RS00,Campylobacter_coli_GCF_001417655.1
AR449_RS00,Campylobacter_coli_GCF_001417615.1
AD53_RS001,Campylobacter_jejuni_GCF_001951235.1
BLD41_RS02,Campylobacter_jejuni_GCF_001870085.1
BLD33_RS05,Campylobacter_coli_GCF_001865515.1
CJH_RS0015,Campylobacter_jejuni_subsp._jejuni_F38011_GCF_000772225.1
CJ14980A_R,Campylobacter_jejuni_subsp._jejuni_GCF_001717625.1
CXQ83_RS00,Campylobacter_coli_GCF_002843985.1
EL232_RS01,Campylobacter_jejuni_GCF_900638185.1
CCO2228_RS,Campylobacter_coli_GCF_004307315.1
BLD39_RS00,Campylobacter_coli_GCF_001865495.1
A911_RS001,Campylobacter_jejuni_subsp._jejuni_PT14_GCF_000302555.5
CJD42_RS00,Campylobacter_jejuni_subsp._jejuni_D42a_GCF_001865615.1
CJ12664_RS,Campylobacter_jejuni_GCF_003060785.1
CJ12567_RS,Campylobacter_jejuni_GCF_003060725.1
CJ12660_RS,Campylobacter_jejuni_GCF_003060745.1
QZ67_RS001,Campylobacter_jejuni_subsp._jejuni_GCF_000807355.1
A0W69_RS01,Campylobacter_jejuni_GCF_001587035.1
BD30_RS001,Campylobacter_jejuni_GCF_001951295.1
MTVDSCj07_,Campylobacter_jejuni_subsp._jejuni_GCF_001721945.1
BD33_RS001,Campylobacter_jejuni_GCF_001951335.1
PJ18_RS001,Campylobacter_jejuni_subsp._jejuni_GCF_000835305.1
N564_RS001,Campylobacter_jejuni_subsp._jejuni_00-2426_GCF_000466105.2
AOD58_RS00,Campylobacter_jejuni_GCF_001314285.1
N755_RS001,Campylobacter_jejuni_subsp._jejuni_00-2544_GCF_000466075.2
N565_RS001,Campylobacter_jejuni_subsp._jejuni_00-2538_GCF_000466065.2
N135_RS001,Campylobacter_jejuni_subsp._jejuni_00-2425_GCF_000468915.2
CRM98_RS01,Campylobacter_jejuni_GCF_002587105.1
A0W68_RS00,Campylobacter_jejuni_GCF_001587015.1
BD32_RS001,Campylobacter_jejuni_GCF_001951315.1
A6J91_RS04,Campylobacter_jejuni_subsp._jejuni_GCF_002209025.1
Cjr01,Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819_GCF_000009085.1
DQM41_RS00,Campylobacter_jejuni_subsp._jejuni_GCF_900475265.1
EL243_RS00,Campylobacter_jejuni_subsp._jejuni_GCF_900638365.1
CGZ68_RS00,Campylobacter_jejuni_GCF_002238375.1
N918_RS001,Campylobacter_jejuni_subsp._jejuni_NCTC_11168-mfK12E5_GCF_000830845.1
N919_RS001,Campylobacter_jejuni_subsp._jejuni_NCTC_11168-Kf1_GCF_000830805.1
BN148_RS00,Campylobacter_jejuni_subsp._jejuni_NCTC_11168-BN148_GCF_000304375.1
N920_RS001,Campylobacter_jejuni_subsp._jejuni_NCTC_11168-K12E5_GCF_000830775.1
N837_RS001,Campylobacter_jejuni_subsp._jejuni_NCTC_11168-GSv_GCF_000830865.1
N917_RS001,Campylobacter_jejuni_subsp._jejuni_NCTC_11168-mcK12E5_GCF_000830825.1
CGZ70_RS00,Campylobacter_jejuni_GCF_002224325.1
B5D75_RS00,Campylobacter_jejuni_subsp._jejuni_GCF_002028305.1
CJ12661_RS,Campylobacter_jejuni_GCF_003060765.1
B2K12_RS00,Campylobacter_jejuni_GCF_002024325.1
UC78_RS001,Campylobacter_jejuni_subsp._jejuni_GCF_000934305.1
A6J94_RS03,Campylobacter_jejuni_subsp._jejuni_GCF_002209065.1
EL238_RS00,Campylobacter_jejuni_GCF_900638285.1
EL236_RS00,Campylobacter_jejuni_GCF_900638225.1
AEI01_RS01,Campylobacter_jejuni_GCF_003368085.1
AEI26_RS03,Campylobacter_jejuni_GCF_003368105.1
AEI02_RS00,Campylobacter_jejuni_GCF_003368045.1
C8J_RS0014,Campylobacter_jejuni_subsp._jejuni_81116_GCF_000017905.1
CFK74_RS00,Campylobacter_jejuni_GCF_002234455.1
MTVDSCJ20_,Campylobacter_jejuni_subsp._jejuni_GCF_000737085.1
CJM1cam_RS,Campylobacter_jejuni_GCF_001412295.1
CJM1_RS001,Campylobacter_jejuni_subsp._jejuni_M1_GCF_000148705.1
C1336_RS08,Campylobacter_jejuni_subsp._jejuni_1336_GCF_000163975.1
EL227_RS00,Campylobacter_jejuni_GCF_900638205.1
EL221_RS00,Campylobacter_jejuni_GCF_900638175.1
CGZ84_RS00,Campylobacter_jejuni_GCF_002238355.1
CJJ81176_R,Campylobacter_jejuni_subsp._jejuni_81-176_GCF_000015525.1
CGZ78_RS00,Campylobacter_jejuni_GCF_002224385.1
CJJRM1285_,Campylobacter_jejuni_subsp._jejuni_GCF_001686905.1
CJJRM3420_,Campylobacter_jejuni_subsp._jejuni_str._RM3420_GCF_001767215.1
CjjRM3197_,Campylobacter_jejuni_subsp._jejuni_GCF_001299565.1
